x,y,z
8.54942e-07,-8.52209e-07,7.53248e-07
-4.49019e-07,-8.80264e-07,1.10405e-06
2.47286e-07,1.42783e-07,1.02192e-06
8.62879e-07,-1.05021e-06,2.28776e-07
-7.67291e-07,7.10839e-07,3.55387e-07
-9.97836e-07,1.5622e-06,1.51868e-07
-1.64069e-06,5.22591e-07,1.50243e-07
-9.75437e-08,-2.6053e-07,1.24425e-06
1.2739e-06,4.86075e-07,1.35938e-07
4.45066e-07,-1.1312e-06,5.84471e-07
6.72366e-07,1.62893e-07,3.06306e-07
1.93124e-07,1.40064e-06,9.26616e-07
-8.04913e-07,1.32781e-06,8.41318e-08
-4.5932e-07,-2.1791e-07,7.35113e-07
-8.46686e-07,-8.21943e-07,2.86549e-07
-2.15961e-07,1.27644e-07,1.24618e-06
2.62145e-07,5.15056e-07,1.89607e-06
-6.28726e-07,6.78765e-07,1.55399e-06
-9.14281e-07,-7.6177e-07,3.62392e-07
-1.60005e-07,-3.24617e-07,1.24054e-06
-2.2476e-07,1.12048e-06,8.78507e-07
-1.20908e-06,-1.5294e-07,-5.28754e-08
1.09048e-06,6.65793e-07,-6.27404e-08
8.22519e-07,9.88799e-07,1.32198e-06
-1.46469e-06,1.22955e-06,3.10553e-07
1.19398e-06,8.88087e-07,2.13935e-07
9.62049e-07,1.51178e-06,2.06313e-07
6.73637e-07,8.56076e-07,7.90977e-07
-1.18267e-06,-3.05864e-07,9.04758e-07
-1.16337e-06,-1.04993e-06,5.1144e-07
-1.13064e-06,2.63185e-07,6.24131e-07
6.01365e-07,7.9878e-07,3.43236e-07
-1.57513e-06,1.45669e-07,2.64944e-07
1.61063e-06,6.67546e-07,3.10408e-07
6.40446e-07,-1.49182e-06,1.83748e-08
-3.28748e-07,1.50597e-06,-2.29392e-08
-1.43073e-06,1.01812e-06,9.40695e-07
5.055e-07,4.81739e-07,8.6232e-07
7.87881e-07,-1.17166e-06,9.90201e-08
3.51305e-07,1.55309e-06,1.8827e-07
7.55069e-07,6.07239e-07,1.58001e-06
-1.36312e-06,1.03955e-06,2.46858e-07
-7.54584e-07,7.1468e-07,8.00294e-07
-6.86289e-07,-8.47392e-09,7.52703e-07
-2.97582e-07,-6.99464e-07,1.11381e-06
3.74826e-07,-2.46845e-07,4.92945e-07
1.20134e-08,-2.21696e-07,5.24148e-07
-3.64438e-07,-5.62692e-07,1.39419e-06
-2.80845e-07,5.52394e-07,8.6422e-07
4.30387e-07,2.6427e-07,1.10388e-06
1.21462e-07,-3.60761e-07,1.35007e-06
-9.00562e-07,6.87451e-07,4.70058e-07
1.05306e-06,4.97486e-07,6.435e-07
-1.33039e-06,-9.91547e-07,4.38459e-07
7.93257e-07,2.26017e-08,1.78739e-06
-4.87364e-07,2.98381e-08,1.34498e-06
-1.60751e-06,-9.48341e-07,6.66941e-07
2.34893e-07,2.14674e-07,9.95909e-07
-1.02137e-07,-5.05748e-07,1.56525e-06
-4.62133e-07,1.5497e-07,6.02892e-07
