t,x,y,z,v
2.44,2.24185e-07,-8.0576e-07,-7.09231e-07,4.37133e-07
2.45,2.08808e-07,-8.46158e-07,-6.89687e-07,4.3686e-07
2.46,9.43516e-08,-8.76029e-07,-6.76376e-07,4.34986e-07
2.47,2.1797e-08,-8.49391e-07,-7.65497e-07,4.36232e-07
2.48,1.52184e-07,-8.17826e-07,-6.90653e-07,4.38462e-07
2.49,1.39181e-07,-8.30911e-07,-6.01996e-07,4.34058e-07
2.5,1.9915e-07,-8.20922e-07,-5.8328e-07,4.38513e-07
2.51,2.13155e-07,-8.7431e-07,-5.04801e-07,4.36017e-07
2.52,2.21214e-07,-7.98364e-07,-5.48901e-07,4.28768e-07
2.53,1.28521e-07,-7.23924e-07,-5.87272e-07,4.3025e-07
2.54,4.36416e-08,-7.74634e-07,-4.84682e-07,4.40945e-07
2.55,6.86711e-08,-7.55399e-07,-4.80217e-07,4.47414e-07
2.56,7.18999e-08,-7.33318e-07,-5.29042e-07,4.39428e-07
2.57,-1.26659e-08,-6.42065e-07,-4.66754e-07,4.33398e-07
2.58,-9.17653e-08,-6.81077e-07,-5.2104e-07,4.37002e-07
2.59,-1.1052e-07,-5.6317e-07,-6.09863e-07,4.40338e-07
2.6,-5.4425e-08,-6.16175e-07,-6.5357e-07,4.33321e-07
2.61,-7.9694e-08,-5.25811e-07,-6.08105e-07,4.33144e-07
2.62,-3.28541e-08,-4.20315e-07,-6.01585e-07,4.30579e-07
2.63,1.9527e-08,-4.04724e-07,-6.61318e-07,4.36793e-07
2.64,1.0003e-08,-4.45957e-07,-7.82045e-07,4.4085e-07
2.65,2.23236e-08,-4.01562e-07,-7.0526e-07,4.44396e-07
2.66,8.52995e-08,-4.6029e-07,-6.66986e-07,4.37446e-07
2.67,1.25457e-07,-4.09706e-07,-7.62022e-07,4.38471e-07
2.68,1.12613e-07,-5.64097e-07,-7.22849e-07,4.36113e-07
2.69,1.49096e-07,-4.80517e-07,-7.114e-07,4.37118e-07
2.7,6.75146e-08,-4.76037e-07,-7.2824e-07,4.40901e-07
2.71,1.66148e-07,-5.43966e-07,-7.07831e-07,4.32332e-07
2.72,1.5198e-07,-5.46036e-07,-6.42886e-07,4.33653e-07
2.73,1.54078e-07,-4.33913e-07,-6.759e-07,4.36061e-07
2.74,7.30601e-08,-5.08512e-07,-6.06634e-07,4.41144e-07
2.75,1.0488e-07,-6.59348e-07,-5.09123e-07,4.34439e-07
2.76,9.05582e-08,-7.65811e-07,-4.49062e-07,4.34512e-07
2.77,1.3303e-07,-8.33015e-07,-5.16041e-07,4.30139e-07
2.78,2.31484e-07,-8.62223e-07,-4.68181e-07,4.31284e-07
2.79,1.71429e-07,-9.04412e-07,-5.36911e-07,4.33109e-07
2.8,1.88475e-07,-9.35818e-07,-4.92697e-07,4.3383e-07
2.81,1.32325e-07,-8.90806e-07,-4.57808e-07,4.3613e-07
2.82,1.57785e-07,-8.18921e-07,-4.7964e-07,4.33881e-07
