t,x,y,z,v
2.52,-8.02823e-07,-4.99725e-07,-4.79217e-07,4.60658e-07
2.53,-8.75629e-07,-4.91044e-07,-5.54228e-07,4.56451e-07
2.54,-8.82286e-07,-4.532e-07,-5.05115e-07,4.5119e-07
2.55,-8.6824e-07,-3.45635e-07,-4.85947e-07,4.59149e-07
2.56,-9.55635e-07,-3.51286e-07,-3.97697e-07,4.56328e-07
2.57,-1.05471e-06,-3.83873e-07,-3.64977e-07,4.59434e-07
2.58,-1.13458e-06,-3.62202e-07,-2.43894e-07,4.6102e-07
2.59,-1.18453e-06,-3.90999e-07,-2.89598e-07,4.5952e-07
2.6,-1.16951e-06,-5.07053e-07,-2.83723e-07,4.58355e-07
2.61,-1.21403e-06,-5.01827e-07,-2.46252e-07,4.59981e-07
2.62,-1.15509e-06,-4.63526e-07,-2.36686e-07,4.50158e-07
2.63,-1.03241e-06,-4.63958e-07,-2.9519e-07,4.57556e-07
2.64,-9.72626e-07,-5.03526e-07,-1.63356e-07,4.58719e-07
2.65,-9.83025e-07,-4.5629e-07,-2.89358e-07,4.63786e-07
2.66,-1.03472e-06,-5.01408e-07,-3.90606e-07,4.6207e-07
2.67,-1.02963e-06,-5.3724e-07,-4.56269e-07,4.66085e-07
2.68,-1.03283e-06,-6.35744e-07,-4.12197e-07,4.60061e-07
2.69,-1.04611e-06,-7.16205e-07,-4.33118e-07,4.58469e-07
2.7,-1.07498e-06,-7.20108e-07,-4.54559e-07,4.61119e-07
2.71,-1.01669e-06,-7.84668e-07,-4.47868e-07,4.55047e-07
2.72,-9.0081e-07,-8.1209e-07,-6.05224e-07,4.63672e-07
2.73,-8.44309e-07,-7.58003e-07,-7.01587e-07,4.56838e-07
2.74,-8.39413e-07,-7.38128e-07,-6.13201e-07,4.54014e-07
2.75,-9.29319e-07,-7.51611e-07,-5.67486e-07,4.54972e-07
2.76,-8.75739e-07,-7.74542e-07,-5.05347e-07,4.58361e-07
2.77,-1.0008e-06,-7.10941e-07,-5.84406e-07,4.56519e-07
2.78,-1.10498e-06,-7.45651e-07,-6.03529e-07,4.6639e-07
2.79,-1.06185e-06,-7.6328e-07,-6.38832e-07,4.60689e-07
2.8,-1.08247e-06,-7.60451e-07,-6.35553e-07,4.57449e-07
2.81,-1.1348e-06,-7.74747e-07,-6.07897e-07,4.59938e-07
2.82,-1.22056e-06,-7.97097e-07,-6.04978e-07,4.56369e-07
2.83,-1.1784e-06,-8.12474e-07,-6.49848e-07,4.52901e-07
2.84,-1.15023e-06,-8.40303e-07,-5.78078e-07,4.58351e-07
2.85,-1.21048e-06,-7.53742e-07,-5.32509e-07,4.59064e-07
2.86,-1.18238e-06,-6.88313e-07,-4.80106e-07,4.49815e-07
2.87,-1.19526e-06,-7.48699e-07,-5.30686e-07,4.54431e-07
2.88,-1.24676e-06,-7.67351e-07,-5.58441e-07,4.51169e-07
2.89,-1.26717e-06,-8.0671e-07,-5.89025e-07,4.58288e-07
2.9,-1.1721e-06,-8.21835e-07,-6.10416e-07,4.58478e-07
2.91,-1.13408e-06,-8.17483e-07,-4.40132e-07,4.59671e-07
2.92,-1.13208e-06,-8.31763e-07,-3.94745e-07,4.60073e-07
2.93,-1.11132e-06,-9.52311e-07,-4.20181e-07,4.60649e-07
2.94,-1.09475e-06,-1.05309e-06,-3.77839e-07,4.58713e-07
2.95,-1.11578e-06,-1.04534e-06,-4.08621e-07,4.61568e-07
2.96,-1.1429e-06,-1.10496e-06,-4.30623e-07,4.5996e-07
2.97,-1.19031e-06,-1.02209e-06,-5.09376e-07,4.58941e-07
2.98,-1.25837e-06,-9.37864e-07,-6.00209e-07,4.55306e-07
2.99,-1.24871e-06,-8.68139e-07,-5.49052e-07,4.56046e-07
3,-1.2861e-06,-8.25605e-07,-5.20356e-07,4.58384e-07
3.01,-1.32142e-06,-8.99092e-07,-4.92508e-07,4.61281e-07
3.02,-1.24329e-06,-8.94022e-07,-5.25018e-07,4.59941e-07
3.03,-1.21984e-06,-9.88754e-07,-5.17547e-07,4.58672e-07
3.04,-1.13704e-06,-1.04833e-06,-5.13572e-07,4.59073e-07
3.05,-1.16109e-06,-1.08879e-06,-4.5868e-07,4.63771e-07
3.06,-1.17249e-06,-1.05222e-06,-4.01476e-07,4.59837e-07
3.07,-1.22884e-06,-1.159e-06,-4.14748e-07,4.58089e-07
3.08,-1.32391e-06,-1.15152e-06,-3.93589e-07,4.56459e-07
3.09,-1.39949e-06,-1.13446e-06,-4.30439e-07,4.60635e-07
3.1,-1.32886e-06,-1.08502e-06,-4.46879e-07,4.60769e-07
3.11,-1.32759e-06,-1.03596e-06,-4.66115e-07,4.63781e-07
3.12,-1.29829e-06,-1.05373e-06,-4.57751e-07,4.63766e-07
3.13,-1.25909e-06,-1.0732e-06,-5.77855e-07,4.62124e-07
3.14,-1.25944e-06,-1.07762e-06,-5.72984e-07,4.56923e-07
3.15,-1.25493e-06,-1.10528e-06,-5.67016e-07,4.59596e-07
