t,x,y,z,v
2.31,-8.76186e-07,9.99253e-08,3.64394e-07,5.55473e-07
2.32,-8.67762e-07,1.27994e-07,3.37524e-07,5.67823e-07
2.33,-8.66468e-07,1.58221e-07,3.11665e-07,5.64841e-07
2.34,-8.19275e-07,2.03865e-07,2.92801e-07,5.71769e-07
2.35,-8.13747e-07,1.82584e-07,2.16293e-07,5.69167e-07
2.36,-8.34789e-07,1.7368e-07,2.67791e-07,5.84377e-07
2.37,-8.46862e-07,1.8696e-07,2.44908e-07,5.76291e-07
2.38,-9.15141e-07,2.06005e-07,2.15533e-07,5.69293e-07
2.39,-9.6908e-07,2.06156e-07,2.13463e-07,5.71253e-07
2.4,-9.13915e-07,6.19929e-08,2.15571e-07,5.878e-07
2.41,-8.97283e-07,1.23042e-07,2.77278e-07,5.80095e-07
2.42,-9.40704e-07,1.01311e-07,2.0815e-07,5.76249e-07
2.43,-9.81383e-07,4.92322e-08,8.41437e-08,6.13456e-07
2.44,-9.56441e-07,-1.55438e-08,1.06027e-07,6.07742e-07
2.45,-9.81314e-07,-1.56897e-08,2.53006e-07,5.96899e-07
2.46,-8.58467e-07,-4.73718e-08,2.81218e-07,5.90741e-07
2.47,-8.74853e-07,-2.17289e-08,3.08227e-07,6.00859e-07
2.48,-8.39867e-07,-3.57373e-08,4.43691e-07,5.66876e-07
2.49,-8.93012e-07,-2.18091e-07,4.64058e-07,5.64537e-07
2.5,-8.33424e-07,-2.08631e-07,4.65455e-07,5.30967e-07
2.51,-8.97649e-07,-1.98826e-07,4.57918e-07,5.37177e-07
2.52,-8.72964e-07,-1.01821e-07,5.74657e-07,5.30202e-07
2.53,-9.99421e-07,-5.51364e-08,5.44729e-07,5.34156e-07
2.54,-1.03934e-06,-3.57385e-08,5.19338e-07,5.24019e-07
2.55,-1.07159e-06,2.89146e-08,4.53117e-07,5.3305e-07
2.56,-1.10898e-06,-2.00892e-09,4.6709e-07,5.15632e-07
2.57,-1.04261e-06,-7.52016e-08,5.54803e-07,5.08454e-07
2.58,-1.17825e-06,-4.43935e-08,5.88546e-07,5.14959e-07
2.59,-1.2776e-06,3.83305e-08,6.02824e-07,5.05327e-07
2.6,-1.20431e-06,2.15034e-08,7.22415e-07,4.94371e-07
2.61,-1.13217e-06,6.5474e-09,7.56343e-07,5.14046e-07
2.62,-1.07658e-06,1.0666e-07,7.78926e-07,5.11091e-07
2.63,-1.20608e-06,1.6171e-07,8.62199e-07,5.06528e-07
2.64,-1.17306e-06,1.59278e-07,8.78834e-07,5.05171e-07
2.65,-1.2417e-06,1.20048e-07,9.41815e-07,5.29917e-07
2.66,-1.2708e-06,1.17673e-07,8.82427e-07,5.19814e-07
2.67,-1.35617e-06,1.62755e-07,9.40735e-07,4.89323e-07
2.68,-1.33872e-06,2.55173e-07,8.24716e-07,4.77292e-07
2.69,-1.18405e-06,1.91302e-07,8.27833e-07,4.84169e-07
2.7,-1.24642e-06,1.90186e-07,8.54377e-07,4.97318e-07
2.71,-1.25161e-06,1.72587e-07,9.56738e-07,4.86061e-07
2.72,-1.23926e-06,1.71447e-07,7.29446e-07,4.83573e-07
2.73,-1.27504e-06,5.05566e-08,7.75004e-07,4.87837e-07
2.74,-1.31193e-06,9.55087e-08,8.31784e-07,4.84581e-07
2.75,-1.43911e-06,1.20695e-07,8.21104e-07,4.90014e-07
2.76,-1.49867e-06,8.82931e-08,8.65048e-07,4.67559e-07
2.77,-1.48939e-06,1.61588e-07,7.37464e-07,4.60027e-07
2.78,-1.49667e-06,1.65604e-07,6.91114e-07,4.53503e-07
2.79,-1.47998e-06,1.96176e-07,7.11573e-07,4.55765e-07
2.8,-1.39614e-06,6.28323e-08,6.6201e-07,4.56986e-07
2.81,-1.33255e-06,2.83669e-08,6.67796e-07,4.59886e-07
2.82,-1.29952e-06,6.42205e-08,6.85774e-07,4.70883e-07
2.83,-1.27852e-06,1.06173e-07,6.78802e-07,4.90607e-07
2.84,-1.33031e-06,9.39411e-08,5.87791e-07,5.17518e-07
2.85,-1.24774e-06,1.57496e-07,5.41192e-07,5.18483e-07
2.86,-1.25142e-06,2.13583e-07,4.31695e-07,5.16635e-07
2.87,-1.27207e-06,9.54121e-08,4.35456e-07,5.39984e-07
2.88,-1.24382e-06,1.10353e-07,4.58102e-07,5.25523e-07
2.89,-1.28638e-06,8.45373e-08,3.82131e-07,5.42719e-07
2.9,-1.41769e-06,1.14433e-07,4.63615e-07,5.35043e-07
2.91,-1.37431e-06,7.62801e-08,3.68518e-07,5.12031e-07
2.92,-1.36011e-06,1.70197e-07,3.67795e-07,4.92974e-07
2.93,-1.40394e-06,2.58091e-07,3.682e-07,4.84722e-07
2.94,-1.38421e-06,2.4519e-07,3.82683e-07,4.89209e-07
2.95,-1.59392e-06,3.57608e-07,4.01623e-07,4.86833e-07
2.96,-1.50439e-06,3.53423e-07,3.27173e-07,4.76555e-07
2.97,-1.48302e-06,3.50355e-07,2.71453e-07,5.03966e-07
2.98,-1.4955e-06,3.47136e-07,3.50922e-07,5.11247e-07
2.99,-1.48463e-06,2.84681e-07,3.04105e-07,4.96605e-07
3,-1.56825e-06,2.70969e-07,3.02492e-07,5.15883e-07
3.01,-1.50144e-06,2.68971e-07,3.21841e-07,4.84701e-07
3.02,-1.43212e-06,2.7442e-07,2.47521e-07,4.87678e-07
3.03,-1.54599e-06,2.0547e-07,2.84529e-07,5.30941e-07
3.04,-1.58624e-06,1.65752e-07,3.20899e-07,5.26435e-07
3.05,-1.58832e-06,1.78021e-07,2.66618e-07,5.00522e-07
3.06,-1.56597e-06,1.85409e-07,1.6621e-07,4.8466e-07
3.07,-1.63695e-06,2.0953e-07,2.4056e-07,4.88226e-07
3.08,-1.72373e-06,2.46401e-07,1.73239e-07,4.95241e-07
3.09,-1.72114e-06,1.71584e-07,1.11187e-07,4.90035e-07
3.1,-1.77814e-06,1.59686e-07,1.91399e-07,5.4684e-07
3.11,-1.79922e-06,1.63708e-07,1.67414e-07,5.12551e-07
3.12,-1.81429e-06,1.33532e-07,3.05808e-07,5.18448e-07
3.13,-1.88608e-06,1.339e-07,2.63901e-07,4.97023e-07
3.14,-1.98444e-06,1.5687e-07,3.79889e-07,5.28977e-07
3.15,-1.81729e-06,1.31521e-07,3.88271e-07,5.46483e-07
3.16,-1.82286e-06,1.02696e-07,4.68701e-07,5.6561e-07
3.17,-1.75144e-06,1.52119e-07,5.78922e-07,6.16852e-07
3.18,-1.6929e-06,1.06138e-07,5.51804e-07,6.63595e-07
3.19,-1.69111e-06,1.56815e-07,5.19121e-07,6.85946e-07
3.2,-1.62465e-06,1.49819e-07,4.33676e-07,7.14815e-07
3.21,-1.53896e-06,1.73047e-07,3.50666e-07,7.35548e-07
3.22,-1.59447e-06,1.83613e-07,4.4735e-07,7.32583e-07
3.23,-1.54893e-06,1.69462e-07,5.06987e-07,6.50521e-07
3.24,-1.59599e-06,6.35203e-08,5.93945e-07,7.28146e-07
3.25,-1.61984e-06,-6.78176e-08,5.34362e-07,5.91829e-07
3.26,-1.62457e-06,-1.1924e-07,5.90769e-07,6.13068e-07
3.27,-1.54508e-06,-1.03888e-07,5.68092e-07,6.41168e-07
3.28,-1.49693e-06,-2.38567e-07,6.51515e-07,6.41439e-07
3.29,-1.55713e-06,-3.62306e-07,7.34642e-07,6.59563e-07
3.3,-1.62618e-06,-4.36861e-07,6.96979e-07,6.52484e-07
3.31,-1.66444e-06,-4.49153e-07,7.06787e-07,6.07284e-07
3.32,-1.66383e-06,-4.38813e-07,7.77811e-07,6.21587e-07
3.33,-1.63983e-06,-4.21895e-07,7.87547e-07,6.32117e-07
3.34,-1.68149e-06,-4.64117e-07,7.74387e-07,6.14272e-07
3.35,-1.66685e-06,-4.0723e-07,7.46023e-07,6.1402e-07
3.36,-1.62473e-06,-5.1334e-07,7.33377e-07,6.3689e-07
3.37,-1.64868e-06,-4.15637e-07,8.12774e-07,6.14222e-07
3.38,-1.56287e-06,-4.56728e-07,8.6326e-07,6.64308e-07
3.39,-1.50447e-06,-4.42143e-07,9.63688e-07,6.1412e-07
3.4,-1.49652e-06,-4.95904e-07,1.04581e-06,6.16459e-07
3.41,-1.36008e-06,-3.50933e-07,1.01866e-06,6.03374e-07
3.42,-1.42984e-06,-3.81007e-07,9.62357e-07,6.70651e-07
3.43,-1.46085e-06,-3.18773e-07,1.06003e-06,6.96689e-07
3.44,-1.47171e-06,-2.79495e-07,1.13581e-06,6.8981e-07
3.45,-1.51703e-06,-3.43761e-07,1.26824e-06,6.62382e-07
3.46,-1.61297e-06,-2.68243e-07,1.22209e-06,6.39585e-07
3.47,-1.63124e-06,-1.61506e-07,1.18312e-06,6.48752e-07
3.48,-1.56213e-06,-1.68562e-07,1.24371e-06,6.51343e-07
3.49,-1.56819e-06,-1.06602e-07,1.29935e-06,6.15579e-07
3.5,-1.58005e-06,-6.46865e-08,1.28364e-06,6.7256e-07
3.51,-1.6267e-06,-7.39199e-08,1.20746e-06,6.43243e-07
3.52,-1.5914e-06,-2.0331e-07,1.07727e-06,6.23577e-07
3.53,-1.55553e-06,-2.29037e-07,1.20732e-06,6.22871e-07
3.54,-1.47146e-06,-2.2747e-07,1.35225e-06,6.40515e-07
